Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
203;expert;Welf Crozzo;2018;1;0;3;55
204;expert;Hidehisa Arai;2018;0;0;7;55
205;expert;nicapotato;2017;1;0;2;54
206;expert;Mohamed Hany;2020;0;2;4;54
207;expert;Naim Mhedhbi;2020;0;1;5;54
208;expert;Arslan Ali;2020;0;2;5;54
209;expert;Alin Cijov;2020;0;0;9;54
210;expert;Mohamed Bakrey;2021;0;0;9;54
211;expert;Aluru V N M Hemateja;2021;0;0;5;54
212;expert;NoLogic;2019;0;3;6;53
213;expert;Syed Jafer;2021;0;0;7;52
214;expert;Jack Daoud;2021;1;0;3;52
215;expert;Kunaal Naik;2018;1;0;3;51
216;expert;Ragnar;2018;0;2;3;51
217;expert;prasoon kottarathil;2019;0;2;6;51
218;expert;Manch Hui;2020;1;0;3;51
219;expert;Jack Ogozaly;2021;0;1;4;51
220;expert;Robin;2021;0;0;4;51
221;expert;Lexyr;2021;0;0;5;51
222;expert;Gokagglers;2014;1;1;2;50
223;expert;Ian Pan;2015;1;0;2;50
224;expert;Vetrivel-PS;2018;0;2;4;50
225;expert;Sandra P;2021;0;3;0;50
226;expert;Jillani Soft Tech;2021;0;0;7;50
227;expert;DataTurks;2018;1;2;4;49
228;expert;Kamal Das <on a break from Kaggle>;2019;0;0;8;49
229;expert;Loulou;2020;0;0;11;49
230;expert;Vikas Ukani;2020;0;4;2;49
231;expert;hugequiz.com;2021;0;0;4;49
232;expert;corochann;2016;1;2;1;48
233;expert;Kostiantyn Isaienkov;2017;0;1;3;48
234;expert;Xavier;2017;1;2;5;48
235;expert;Blesson Densil;2018;0;2;5;48
236;expert;Johar M. Ashfaque;2018;0;0;9;48
237;expert;Chris Gorgolewski;2019;0;2;5;48
238;expert;Gaurav Rajesh Sahani;2020;0;2;5;48
239;expert;TUSHAR SARKAR;2020;0;0;6;48
240;expert;Chryzal;2021;0;1;3;48
241;expert;David Beniaguev;2014;2;0;2;47
242;expert;Mark Wijkhuizen;2020;0;0;3;47
243;expert;Arya Shah;2020;0;0;5;47
244;expert;Karthik Vadlamudi;2021;0;0;4;47
245;expert;Knightbearr;2021;0;1;2;47
246;expert;Rohit Kulkarni;2017;1;1;4;46
247;expert;Janio Martinez Bachmann;2018;1;1;1;46
248;expert;Marie;2019;0;4;1;46
249;expert;landlord;2020;1;0;5;46
250;expert;ANANTH R;2021;0;0;4;46
251;expert;Heitor Nunes;2021;0;0;5;46
252;expert;beluga;2012;1;0;2;45
253;expert;Michael Kechinov;2018;1;1;1;45
254;expert;Saurav Anand;2019;0;1;5;45
255;expert;Nipun Arora;2019;1;0;2;45
256;expert;Kannan Ravinther;2019;0;0;5;45
257;expert;dasmehdixtr;2020;0;0;8;45
258;expert;Somayyeh Gholami;2020;0;0;4;45
259;expert;Nick Kuzmenkov;2021;0;2;1;45
260;expert;Muhammad Abdulaziz;2021;0;0;5;45
261;expert;ruthgn;2021;0;0;4;45
